run,temp,temp2,prec,prec2
198,.0075512,-.0003493,.0000204,-5.79e-09
199,.0173019,-.000604,.0000177,-7.20e-09
200,.0153007,-.0005788,-7.52e-06,3.62e-10
201,.0120841,-.0005041,.0000129,-4.75e-09
202,.0102802,-.0004389,.0000287,-8.61e-09
203,.0144046,-.0006187,7.03e-09,-1.41e-09
204,.0098773,-.0004421,.0000139,-4.23e-09
205,.0110402,-.0005038,.0000181,-3.43e-09
206,.0161683,-.0005677,8.36e-06,-1.52e-09
207,.0091132,-.000373,.0000172,-5.18e-09
208,.0095024,-.0004169,.0000114,-3.29e-09
209,.0145263,-.0005496,-2.82e-06,-3.11e-09
210,.0041571,-.0002556,5.79e-06,-2.35e-09
211,.0115804,-.0003317,-3.49e-06,-9.88e-10
212,.0147094,-.0005375,9.25e-06,-4.19e-09
213,.016058,-.0005716,4.12e-06,-3.89e-09
214,.0108428,-.0004306,9.37e-06,-5.10e-09
215,.0111763,-.000322,.0000285,-9.09e-09
216,.0170986,-.0005759,.0000111,-4.28e-09
217,.0164703,-.0006665,1.07e-06,-2.61e-09
218,.0009659,-.0001694,.0000281,-6.09e-09
219,.0096093,-.0004424,.0000126,-3.37e-09
220,.0165888,-.000549,.0000158,-5.07e-09
221,.0207557,-.0006649,6.36e-06,-3.16e-09
222,.0135341,-.0005757,.0000311,-8.18e-09
223,.0176204,-.0006546,.0000342,-1.02e-08
224,.011421,-.0004333,.0000141,-4.43e-09
225,.0288511,-.0009552,.0000177,-7.12e-09
226,.0131573,-.0005972,.0000113,-2.93e-09
227,.0100703,-.0005589,.0000192,-7.32e-09
228,.0075427,-.000373,-6.23e-07,-2.75e-09
229,.0084426,-.0004422,.0000294,-8.98e-09
230,.0185475,-.0006829,.0000182,-4.19e-09
231,.0132318,-.0005221,-4.76e-06,-9.04e-10
232,.0155492,-.0004364,.000022,-6.42e-09
233,.0122949,-.0005037,.0000171,-5.92e-09
234,.0101612,-.0004657,.000016,-3.54e-09
235,.0200103,-.0005999,.0000386,-1.09e-08
236,.0087053,-.0003836,.000039,-1.08e-08
237,.0102577,-.0004867,.0000291,-7.12e-09
238,.0208706,-.0007107,6.66e-06,-4.06e-09
239,.0162574,-.0005319,.0000214,-5.84e-09
240,.0133243,-.0005396,.0000133,-5.27e-09
241,.0080548,-.00022,.00002,-5.82e-09
242,.0100694,-.0003978,.0000238,-8.36e-09
243,.0129941,-.00035,8.32e-06,-3.50e-09
244,.0108452,-.0004782,.000022,-5.94e-09
245,.0117,-.0004651,.0000128,-3.95e-09
246,.0115011,-.0005717,.0000166,-3.04e-09
247,.0131994,-.0005076,.0000109,-4.20e-09
248,.017767,-.0006316,.0000253,-7.28e-09
249,.0008997,-.0002096,-6.00e-07,-2.66e-09
250,.0127178,-.0004328,9.73e-06,-3.69e-09
251,.0103705,-.0003464,.0000125,-4.79e-09
252,.0120639,-.0006092,8.02e-06,-4.44e-09
253,.0090529,-.000425,.0000393,-1.16e-08
254,.0146049,-.0004429,.0000193,-5.22e-09
255,.0145019,-.0005764,.0000201,-5.46e-09
256,.009588,-.0004243,.000019,-7.05e-09
257,.0088249,-.0004028,6.73e-06,-4.05e-09
258,.0085561,-.0003892,.0000108,-5.59e-09
259,.0117544,-.0004649,.0000183,-5.50e-09
260,.0120611,-.0006008,.0000126,-4.49e-09
261,.0091964,-.0003559,.0000188,-5.97e-09
262,.0083828,-.0003109,5.91e-06,-3.14e-09
263,.0107427,-.0004271,.0000109,-1.94e-09
264,.016791,-.0006294,8.64e-06,-2.85e-09
265,.0160613,-.0006453,.0000235,-9.44e-09
266,.0154527,-.0006413,.0000166,-4.97e-09
267,.0109916,-.0005075,.0000157,-5.49e-09
268,.0127025,-.0005635,.0000154,-3.66e-09
269,.0133647,-.0005298,.0000211,-6.97e-09
270,.0148959,-.0005646,.0000152,-4.86e-09
271,.0116926,-.0003657,.0000124,-5.48e-09
272,.0105886,-.0003531,.0000188,-7.84e-09
273,.0160246,-.0006211,5.74e-06,-2.32e-09
274,.0092238,-.0003129,.0000213,-5.79e-09
275,.011791,-.0005097,.0000158,-4.54e-09
276,.0067491,-.0004162,.0000297,-9.48e-09
277,.0151089,-.0004473,.0000103,-6.14e-09
278,.0165864,-.0005108,9.28e-06,-3.75e-09
279,.016068,-.0005736,5.08e-06,-3.98e-09
280,.0142394,-.000521,.0000176,-5.04e-09
281,.0136312,-.0004953,.0000169,-4.94e-09
282,.0068645,-.00038,.000038,-1.00e-08
283,.0153854,-.0006456,4.65e-06,-2.23e-09
284,.004819,-.0002462,.0000386,-1.04e-08
285,.0183971,-.0006915,.0000114,-5.96e-09
286,.0143854,-.0005337,.0000198,-3.99e-09
287,.0149758,-.0005464,.0000172,-5.85e-09
288,.0137456,-.0005907,.0000203,-6.18e-09
289,.0126068,-.0003621,5.76e-06,-2.10e-09
290,.018777,-.0005378,7.35e-06,-3.03e-09
291,.0078147,-.0003955,.0000107,-3.61e-09
292,.013018,-.0005647,7.31e-06,-2.45e-09
293,.0124243,-.0004761,.0000187,-3.15e-09
294,.0179594,-.0004888,4.68e-06,-2.69e-09
