run,temp,temppoor,L1temp,L1temppoor,L2temp,L2temppoor,L3temp,L3temppoor,L4temp,L4temppoor,L5temp,L5temppoor,temp2,temp2poor,L1temp2,L1temp2poor,L2temp2,L2temp2poor,L3temp2,L3temp2poor,L4temp2,L4temp2poor,L5temp2,L5temp2poor,tlin,tlinpoor,tsq,tsqpoor
881,.0106624,-.0145129,-.0063939,.006258,-.0120905,-.0194188,-.0081261,.0294664,.0037925,.0021276,.0082579,-.0040777,-.0004414,-.0000235,.0001456,-.0000562,.0003092,.0003648,.0002147,-.0008781,-.0000887,.0002466,-.0000934,-.0000133,-.0038976,-.0001574,.0000461,-.0003598
882,.014595,-.0017465,-.0083475,-.0128528,-.0071904,-.0091649,-.0051379,-.0135651,.0085177,.0091819,.0044989,-.0003495,-.0006057,-.0003523,.0003139,.0005163,.0001316,.000196,.0001826,.000202,-.0004538,-.0000249,-3.18e-06,-.0000509,.0069359,-.028497,-.0004346,.0004862
883,.0104395,.0055521,-.0089847,-.0031182,-.0137475,.0066868,-.0009609,.0192011,.0020288,-.0005223,.0086036,-.0026812,-.0006208,-.0004682,.0003063,.0002947,.0005821,-.0001655,-.0002613,-.0005468,-.0000471,.0002172,-.0001156,.0000185,-.0026213,.0251183,-.0001564,-.0006501
884,.0051323,.0147128,-.0118387,-.016363,-.0058305,-.0073393,-.00242,-.005728,-.0059418,.0104205,.0088356,.0167057,-.0002792,-.0003921,.0005324,.0003416,.0001986,.0000395,-.0001359,-.0001218,.0002789,-.0000215,-.000457,-.0004166,-.0120632,.0124088,.0001378,-.0005709
885,.0195738,.0086828,-.0060282,-.0105733,-.0039084,-.0140537,-.0074846,-.0017442,-.0053376,.0072408,.0049734,.0112889,-.0008685,-.0003762,.0001728,.0003166,.0002107,.0003138,.00024,-.0000534,.0002669,.0000149,-.0000682,-.0003007,.0017884,.0008413,-.0000463,-.000085
886,.0108193,-.0005408,-.0119113,.0014986,-.007115,-.0304855,-.0030691,.0086986,.0008051,-.0046483,.0069498,.018834,-.0004129,-.000269,.0004868,.0000866,.00017,.0004492,-.0000526,-.0002755,.0001566,.000251,-.0001926,-.0004756,-.0035213,-.0066435,.0001553,-.0002335
887,.0109623,-.00983,-.0100626,-.0103408,-.0085903,.0099029,-.0043119,-.0148836,-.0000439,.015982,.0043262,-.0038031,-.0005491,-.0000792,.0004221,.0003261,.0002825,-.0001965,.0000497,.0001553,-.0000158,-.0002561,3.87e-06,.0000711,-.0077201,-.0129727,.0001933,.0000207
888,.0104466,-.0027368,-.007799,-.0131712,.0039357,.0079112,-.0090286,-.0018876,.0104468,.0172838,-.0031591,-.0033496,-.0004331,-.0001392,.000383,.0003981,-.0001648,-.000245,.0004237,-.0001945,-.0005677,-.0001459,.0002124,-.0000508,.0048424,.0040497,-.0001465,-.0003773
889,.0143243,.0208599,-.0064807,.0064644,-.0015795,-.0184608,-.0081762,.0065601,.0097996,-.0057484,.0012776,.0106464,-.0005019,-.0006818,.0002815,-3.98e-06,-.0000255,.0003451,.0003649,-.0002497,-.0004691,.0003884,-.0001099,-.0002751,.0091651,.0203216,-.0004599,-.0004771
890,.0235403,.0273525,-.0164115,-.0002227,-.0110682,-.0213688,-.0063078,.000733,.0055353,-.0081348,.0091365,.0076875,-.0007757,-.0008515,.0005982,.0001676,.0001901,.000285,.0000223,-.000192,-.000352,.0001617,-.0003119,-.0002321,.0044246,.0060467,-.0006291,-.0006613
