run,temp,L1temp,L2temp,L3temp,L4temp,L5temp,temp2,L1temp2,L2temp2,L3temp2,L4temp2,L5temp2,tlin,tsq
946,.0040152,-.0112958,-.0131326,-.0027884,-.0070773,.0074728,-.0002383,.0003591,.0003608,-.0001021,.0002357,-.0002612,-.0228061,.000354
947,.0120369,-.0056581,-.0083767,-.0008644,.0024026,.0051192,-.0005763,.0002784,.0001831,-.0001287,-.0000143,-.0001354,.0046595,-.0003932
948,.0158593,-.0055325,-.0006834,-.0056433,.0082215,.005589,-.0006564,.0003397,-.0000415,.0001277,-.0002333,-.0001204,.0178105,-.0005842
949,.0134315,.0011198,-.0020726,.0000313,.0010137,-.0009051,-.0006294,.0000695,.0000971,-.0001058,.0001688,-.0000665,.0126186,-.0004664
950,.0097952,-.0085465,-.0051775,-.0008761,-.0016526,.0024682,-.0005572,.0003008,.0000652,-.0001334,.0001185,-3.84e-07,-.0039893,-.0002064
951,.0070581,-.0079524,-.0134155,-.0016949,-.0035527,.0024717,-.00029,.0002279,.0002907,-.0001253,.0001235,-.0001007,-.0170856,.0001261
952,.0152564,-.0133123,-.0034837,-.0086725,-.0001856,.0057753,-.0005776,.0005298,.0000942,.0001403,.0000511,-.0001457,-.0046225,.0000921
953,.0107599,-.0042962,-.0033533,-.0012116,-.0006076,.0015986,-.0004638,.0002265,.0000589,-.0000732,.0000846,-.0000878,.0028899,-.0002547
954,.0146172,-.007718,-.0036991,-.002875,-.0014733,.0058161,-.0006178,.000266,.0000399,-.0000315,.0001431,-.0002529,.0046679,-.0004532
955,.0159755,-.0070316,-.002248,-.0022403,.0008498,.0070643,-.000607,.0002519,-.0000477,-.0000713,.0000711,-.0002221,.0123697,-.000625
956,.0058412,-.0064547,-.005506,.0002765,-.0042149,.001856,-.0003729,.0002907,.0000444,-.000107,.0002471,-.0000997,-.0082018,2.53e-06
957,.0131748,-.0005608,-.0043855,.0014008,-.0005241,-.0034504,-.0004393,.0001176,.0000417,-.0001588,.0000866,.0000474,.0056548,-.0003047
958,.0154022,-.0031059,-.0089939,.0013794,-.0007948,.0038305,-.0005664,.0001543,.0001984,-.0002343,.0002274,-.0000825,.0077174,-.000303
959,.0114136,-.0061907,-.0109145,-.0023497,-.0039003,.0073917,-.0005822,.0002963,.0002525,-.0000761,.0000886,-.0001652,-.00455,-.0001861
960,.0099667,-.0044338,-.0069019,-.0043346,-.002242,.007881,-.0005059,.0002763,.0000519,.0001286,.0001716,-.0002895,-.0000646,-.0001669
961,.0104083,-.0056412,-.0066752,-.0011628,.000031,.0031776,-.0004662,.0002076,.0001432,-.0002121,.0001103,-.0001883,.0001377,-.0004054
962,.0048494,-.0059081,-.0044422,.0009458,-.0057525,.002308,-.0003533,.0002243,.0000507,-.0001581,.0003408,-.000018,-.0079996,.0000865
963,.0060029,-.0089531,-.0051197,-.0017511,-.0025576,.0079313,-.0003423,.0003621,.0001553,-.0000878,.0002207,-.0002819,-.0044472,.0000261
964,.0076773,-.0034418,-.0069597,-.0014087,-.0004311,.0093047,-.0003671,.0001282,.0000912,-.0000962,.0001079,-.0003835,.0047407,-.0005194
965,.0084819,-.0058883,-.0076263,-.0012681,-.0016265,.0023058,-.0005637,.000194,.0001841,-.0000161,.0000707,.0000151,-.0056216,-.0001158
966,.0118378,.0033936,-.0051822,.0059212,-.0002019,.0011896,-.0004924,-.0000632,.0001292,-.0003575,.0002845,-.0000654,.0169581,-.0005649
967,.0033844,-.0077558,-.0115433,-.003851,-.0052129,.0073643,-.000321,.000271,.0002964,-.0000444,.0001922,-.0002021,-.0176143,.0001922
968,.0049398,-.0045386,-.0101163,.0036657,-.0049635,4.59e-06,-.0003406,.0001696,.000284,-.0002645,.0002739,.0000658,-.0110083,.0001882
969,.015074,-.0003504,.0002792,.0034385,.0011706,-.0030668,-.000486,.000104,-.0000192,-.0002318,.0000809,-.0000463,.016545,-.0005985
970,.0025351,-.0084453,-.0095316,-.0024618,-.0024116,.0092722,-.0002821,.0002422,.0002539,-.0000603,.0001016,-.0002974,-.0110431,-.0000421
971,.0031133,-.0065959,-.0046788,.0011378,-.0050982,.0016963,-.000241,.000272,.0001796,-.0002093,.0001352,-.0000835,-.0104254,.000053
972,.0175721,-.0049901,-.0077478,.0005674,-.0005795,.0080467,-.0007179,.0002826,.0001613,-.0001451,.0001413,-.0002577,.0128688,-.0005354
973,.0058603,-.0050063,-.0064721,-.0041196,-.0046641,-.0008272,-.0004667,.0002318,.0001054,.0000444,.0001571,-.0000363,-.0152289,.0000357
974,.00863,-.0030231,-.0092195,-.0015776,-.00261,-.0044588,-.000397,.0001593,.000221,-.000047,.0001442,.0000909,-.0122591,.0001713
975,.004074,-.0030883,-.0027809,-.0041357,-.0019196,-.0019795,-.0002424,.0002165,.000073,.0000432,.000098,.0000526,-.00983,.0002409
976,.0075782,-.0051279,-.0065554,-.0008605,-.0025304,.0021165,-.0005165,.0002259,.0001694,-.0001225,.0001695,-.0000859,-.0053796,-.0001602
977,.0058939,-.011945,-.0058686,-.0039677,-.001142,.0098828,-.0003483,.0005007,.0000789,-.000054,.0000595,-.0002795,-.0071466,-.0000427
978,.0116723,-.0044599,-.0021626,.0003177,.0010412,.0013204,-.0005676,.0002442,.0000506,-.0001107,.0000482,-.0000174,.0077291,-.0003527
979,.0119748,-.0062677,-.0039675,-.0004598,.0034773,.003478,-.0004947,.0002806,.0000533,-.0000396,-.0000259,-.0001241,.0082351,-.0003503
980,.0118617,-.0046598,-.0076541,-.0019801,.0028281,.0057582,-.0004772,.0002264,.0001659,-.000083,.000025,-.0001063,.0061538,-.0002492
981,.0079462,-.0099107,-.0034603,-.0016584,-.0028697,.0056844,-.0004648,.0003693,.0000928,-.0001092,.0001037,-.0002303,-.0042687,-.0002383
982,.0189124,-.0007459,-.0040784,-.0005503,-.0017435,.0032314,-.0007437,.0001728,.0001128,9.37e-06,.0002838,-.0001663,.0150256,-.0003312
983,.0120792,.0033209,-.003826,-.0006603,.0019036,-.0100677,-.0004934,.0000964,.0001102,-.0000247,.0000862,.0002151,.0027497,-.0000102
984,.0104803,-.0085528,-.0115361,.0000159,-.0004645,.0100518,-.0004615,.0003127,.0001524,-.000157,.0000351,-.0003272,-5.43e-06,-.0004454
985,.0147974,-.0041686,-.0075067,-.002362,.0002507,.0048955,-.000677,.000149,.0001613,-.0000692,.0000722,-.0001783,.0059063,-.0005419
