Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
2003,.75,.58,.60,.55,.60,.48,.58,.65,.62,.73,.54,.75,.62,.59,.59,.58,.57,.63
2004,.58,.73,.63,.61,.38,.44,.27,.47,.50,.60,.73,.51,.54,.56,.69,.54,.39,.61
2005,.74,.60,.74,.68,.63,.64,.62,.61,.71,.75,.74,.68,.68,.66,.62,.68,.63,.73
2006,.56,.73,.63,.48,.49,.66,.55,.71,.65,.69,.73,.79,.64,.63,.66,.53,.64,.69
2007,1.02,.70,.73,.76,.69,.61,.61,.59,.60,.58,.59,.50,.66,.69,.84,.73,.60,.59
2008,.30,.38,.74,.54,.49,.49,.60,.47,.61,.67,.69,.54,.54,.54,.39,.59,.52,.65
2009,.65,.53,.54,.61,.65,.65,.74,.68,.72,.65,.81,.68,.66,.65,.57,.60,.69,.73
2010,.75,.84,.92,.85,.75,.67,.62,.67,.63,.71,.82,.45,.72,.74,.75,.84,.66,.72
2011,.52,.48,.66,.65,.53,.62,.70,.74,.57,.66,.58,.61,.61,.60,.48,.61,.69,.60
2012,.49,.49,.58,.72,.79,.64,.58,.63,.72,.79,.78,.53,.65,.65,.53,.70,.62,.76
2013,.70,.62,.67,.54,.61,.69,.60,.70,.77,.69,.84,.70,.68,.66,.62,.61,.66,.77
2014,.75,.55,.78,.80,.86,.67,.58,.82,.87,.80,.67,.79,.74,.74,.67,.81,.69,.78
2015,.85,.90,.95,.75,.80,.81,.73,.80,.85,1.09,1.05,1.15,.90,.86,.85,.84,.78,1.00
2016,1.17,1.37,1.36,1.11,.95,.80,.85,1.01,.90,.88,.91,.86,1.01,1.04,1.23,1.14,.89,.90
2017,1.02,1.14,1.17,.94,.91,.72,.81,.87,.77,.90,.88,.94,.92,.91,1.01,1.01,.80,.85
2018,.81,.84,.88,.89,.82,.77,.82,.76,.80,1.01,.83,.92,.85,.85,.86,.86,.78,.88
2019,.93,.95,1.17,1.01,.85,.91,.94,.94,.92,1.01,1.00,1.09,.98,.96,.93,1.01,.93,.98
2020,1.17,1.24,1.17,1.13,1.02,.92,.90,.87,.99,.88,1.10,.81,1.02,1.04,1.17,1.11,.89,.99
2021,.81,.64,.88,.76,.79,.85,***,***,***,***,***,***,***,***,.75,.81,***,***
